あいいちろう Aiichirou
よしこ Yoshiko
よしごろう Yoshigorou
よしさぶろう Yoshisaburou
よしざぶろう Yoshizaburou
よししげろう Yoshishigerou
よししろう Yoshishirou
よしじ Yoshiji
よしじゅうろう Yoshijuurou
よしじろう Yoshijirou
よしたか Yoshitaka
よしたけ Yoshitake
よしたつ Yoshitatsu
よしたろう Yoshitarou
よしちろう Yoshichirou
よしつぐ Yoshitsugu
よしつね Yoshitsune
よしてる Yoshiteru
よしと Yoshito
よしとし Yoshitoshi
よしとも Yoshitomo
よしなが Yoshinaga
よしなり Yoshinari
よしのすけ Yoshinosuke
よしのぶ Yoshinobu
よしのり Yoshinori
よしはる Yoshiharu
よしひこ Yoshihiko
よしひさ Yoshihisa
よしひで Yoshihide
よしひと Yoshihito
よしひろ Yoshihiro
よしふみ Yoshifumi
よしまさ Yoshimasa
よしみつ Yoshimitsu
よしむね Yoshimune
よしやす Yoshiyasu
よしゆき Yoshiyuki
よしろう Yoshirou
よしろお Yoshiroo
よじゅうろう Yojuurou
よじろう Yojirou
よすのり Yosunori
よそえもん Yosoemon
よそごろう Yosogorou
よそさぶろう Yososaburou
よそじろう Yosojirou
よたろう Yotarou
よねいちろう Yoneichirou
よねさぶろう Yonesaburou
よねじゅうろう Yonejuurou
よねじろう Yonejirou
よねたろう Yonetarou
よねとし Yonetoshi
よねのすけ Yonenosuke
よねのぶ Yonenobu
よねひこ Yonehiko
よねよし Yoneyoshi
よのすけ Yonosuke
よはちろう Yohachirou
よひと Yohito
よみひこ Yomihiko
よもくろう Yomokurou
よりいちろう Yoriichirou
よりかず Yorikazu
よりとし Yoritoshi
よりのすけ Yorinosuke
よりひこ Yorihiko
よりよし Yoriyoshi
よろずのすけ Yorozunosuke
らいき Raiki
らいごろう Raigorou
らいさぶろう Raisaburou
らいざぶろう Raizaburou
らいしろう Raishirou
らいじろう Raijirou
らいたろう Raitarou
らいのすけ Rainosuke
らいや Raiya
らくたろう Rakutarou
らくのすけ Rakunosuke
らんざぶろう Ranzaburou
りいいちろう Riiichirou
りいちろう Riichirou
りお Rio
りき Riki
りきさぶろう Rikisaburou
りきざぶろう Rikizaburou
りきたろう Rikitarou
りきちろう Rikichirou
りきのすけ Rikinosuke
りきろう Rikirou
りく Riku
りくお Rikuo
りくさぶろう Rikusaburou
りくたろう Rikutarou
りくと Rikuto
りくろう Rikurou
りさぶろう Risaburou
りざえもん Rizaemon
りたろう Ritarou
りつじろう Ritsujirou
りつひこ Ritsuhiko
りつろう Ritsurou
りのすけ Rinosuke
りはちろう Rihachirou
りゅういち Ryuuichi
りゅういちろう Ryuuichirou
りゅうご Ryuugo
りゅうごろう Ryuugorou
りゅうさぶろう Ryuusaburou
りゅうざぶろう Ryuuzaburou
りゅうしろう Ryuushirou
りゅうじ Ryuuji
りゅうじろう Ryuujirou
りゅうすけ Ryuusuke
りゅうた Ryuuta
りゅうたろう Ryuutarou
りゅうだい Ryuudai
りゅうと Ryuuto
りゅうのすけ Ryuunosuke
りゅうひこ Ryuuhiko
りゅうま Ryuuma
りゅうろう Ryuurou
りゆうじろう Riyuujirou
りゆうのすけ Riyuunosuke
りょう Ryou
りょういち Ryouichi
りょういちろう Ryouichirou
りょうえつろう Ryouetsurou
りょうが Ryouga
りょうきちろう Ryoukichirou
りょうごろう Ryougorou
りょうさぶろう Ryousaburou
りょうざえもん Ryouzaemon
りょうざぶろう Ryouzaburou
りょうしろう Ryoushirou
りょうじ Ryouji
りょうじろう Ryoujirou
りょうすけ Ryousuke
りょうぞう Ryouzou
りょうた Ryouta
りょうたろう Ryoutarou
りょうのすけ Ryounosuke
りょうはちろう Ryouhachirou
りょうひこ Ryouhiko
りょうへい Ryouhei
りょうま Ryouma
りょうや Ryouya
りょくえろう Ryokuerou
りょたろう Ryotarou
りようのすけ Riyounosuke
りんいちろう Rin'ichirou
りんごろう Ringorou
りんざえもん Rinzaemon
りんざぶろう Rinzaburou
りんしろう Rinshirou
りんじろう Rinjirou
りんたろう Rintarou
りんのすけ Rinnosuke
るい Rui
れい Rei
れいいち Reiichi
れいいちろう Reiichirou
れいざぶろう Reizaburou
れいしろう Reishirou
れいじろう Reijirou
れいたろう Reitarou
れいのすけ Reinosuke
れいろう Reirou
れお Reo
れおな Reona
れおん Reon
れきじろう Rekijirou
れきろう Rekirou
れつひこ Retsuhiko
れんいちろう Ren'ichirou
れんごろう Rengorou
れんざぶろう Renzaburou
れんしちろう Renshichirou
れんじ Renji
れんじろう Renjirou
れんた Renta
れんたろう Rentarou
れんのすけ Rennosuke
れんぱちろう Renpachirou
ろうこくろう Roukokurou
ろうろう Rourou
ろくいちろう Rokuichirou
ろくごろう Rokugorou
ろくさぶろう Rokusaburou
ろくざえもん Rokuzaemon
ろくしろう Rokushirou
ろくじゅうろう Rokujuurou
ろくじろう Rokujirou
ろくたろう Rokutarou
ろくのすけ Rokunosuke
ろくはちろう Rokuhachirou
ろくひこ Rokuhiko
ろくろう Rokurou
ろくろうざえもん Rokurouzaemon
ろろう Rorou
わいちろう Waichirou
わかさぶろう Wakasaburou
わかたらしひこ Wakatarashihiko
わかひこ Wakahiko
わきお Wakio
わきたろう Wakitarou
わけひこ Wakehiko
わさぶろう Wasaburou
わざぶろう Wazaburou
わしたろう Washitarou
わしちろう Washichirou
わしのすけ Washinosuke
わしろう Washirou
わじろう Wajirou
わたたろう Watatarou
わたる Wataru
わたろう Watarou
わにさぶろう Wanisaburou
わにひこ Wanihiko
わはちろう Wahachirou
わろう Warou
カツあき Katsuaki
ケンた Kenta
シンいち Shin'ichi
ベンきよし Benkiyoshi
リョウいち Ryouichi
